City,Murder,Arson,Violent crime,Motor vehicle theft,State,Property crime,Aggravated assault,Robbery,Year,Burglary,Larceny-theft,ID,Rape,Population
BAKERSFIELD,23,151,923,1434,CALIFORNIA,8264,580,289,2016,1932,4898,1,31,378788
CINCINNATI,32,220,1289,511,OHIO,7155,544,572,2016,1856,4788,5,141,298880
NORWALK,3,9,203,215,CALIFORNIA,942,117,66,2016,186,541,1,17,107453
ANCHORAGE,9,38,1692,921,ALASKA,6853,1055,326,2016,1031,4901,26,302,299097
ORLANDO,65,11,1194,570,FLORIDA,7600,804,240,2016,1421,5609,38,85,277719
LAS VEGAS METROPOLITAN POLICE DEPARTMENT,83,49,7174,4238,NEVADA,22234,3922,2537,2016,6115,11881,43,632,1592178
BILLINGS,0,10,275,316,MONTANA,2563,190,49,2016,324,1923,17,36,111447
BIRMINGHAM,44,76,1732,750,ALABAMA,5875,1153,460,2016,1318,3807,7,75,212549
SANTA ANA,13,21,868,948,CALIFORNIA,3428,511,267,2016,557,1923,1,77,337419
BELLEVUE,0,10,77,148,WASHINGTON,2180,33,38,2016,334,1698,36,6,142238
TACOMA,5,48,1032,1244,WASHINGTON,6853,658,286,2016,1238,4371,36,83,209914
POMPANO BEACH,3,2,458,285,FLORIDA,2586,251,160,2016,413,1888,38,44,109362
BALTIMORE,137,137,5176,2516,MARYLAND,13822,2549,2340,2016,3462,7844,47,150,618385
HAYWARD,3,6,298,675,CALIFORNIA,2266,87,174,2016,364,1227,1,34,161122
EL MONTE,0,17,226,314,CALIFORNIA,1191,117,92,2016,338,539,1,17,117354
VISALIA,2,1,265,340,CALIFORNIA,1988,180,53,2016,492,1156,1,30,131186
HAMPTON,8,6,172,128,VIRGINIA,2035,72,75,2016,247,1660,20,17,135504
LAKEWOOD TOWNSHIP,2,4,95,17,NEW JERSEY,409,61,22,2016,82,310,45,10,100269
TEMPE,3,20,437,217,ARIZONA,4050,253,108,2016,599,3234,13,73,178654
PROVIDENCE,2,9,490,,RHODE ISLAND,,283,147,2016,473,1912,31,58,179340
BRIDGEPORT,2,4,472,270,CONNECTICUT,1262,254,188,2016,292,700,46,28,148180
BUFFALO,19,108,1358,392,NEW YORK,4803,783,468,2016,1184,3227,18,88,257446
PHILADELPHIA,122,197,7374,2616,PENNSYLVANIA,22948,3722,2896,2016,3263,17069,37,634,1570826
LOUISVILLE METRO,54,6,2261,2027,KENTUCKY,14552,1372,746,2016,2829,9696,40,89,683825
WILMINGTON,5,4,,124,NORTH CAROLINA,2347,267,114,2016,659,1564,22,,117852
WORCESTER,3,3,787,263,MASSACHUSETTS,2720,568,179,2016,747,1710,48,37,184595
CORONA,1,11,95,349,CALIFORNIA,1866,25,45,2016,384,1133,1,24,166534
NEWARK,49,21,1154,973,NEW JERSEY,2879,491,570,2016,496,1410,45,44,281450
SALINAS,15,4,431,877,CALIFORNIA,2738,254,120,2016,340,1521,1,42,158729
MODESTO,4,31,1034,835,CALIFORNIA,5010,745,240,2016,763,3412,1,45,212880
RENTON,4,20,150,606,WASHINGTON,2954,68,60,2016,454,1894,36,18,101908
MURFREESBORO,2,4,360,87,TENNESSEE,1858,255,75,2016,343,1428,24,28,129730
VALLEJO,10,36,517,608,CALIFORNIA,2419,292,167,2016,1120,691,1,48,122293
SANTA CLARA,2,6,88,163,CALIFORNIA,1297,43,32,2016,175,959,1,11,128179
CHICAGO,323,284,13810,5167,ILLINOIS,39442,7504,5164,2016,6198,28077,2,819,2725153
FORT COLLINS,1,7,141,86,COLORADO,1731,109,15,2016,191,1454,14,16,164670
WEST PALM BEACH,3,12,479,283,FLORIDA,2671,284,151,2016,439,1949,38,41,108074
OXNARD,8,17,461,475,CALIFORNIA,3293,217,196,2016,510,2308,1,40,209048
LONG BEACH,15,47,1405,1364,CALIFORNIA,6900,741,540,2016,1527,4009,1,109,476476
LAFAYETTE,5,11,333,176,LOUISIANA,3156,233,83,2016,533,2447,12,128923
EDISON TOWNSHIP,0,1,49,36,NEW JERSEY,528,30,16,2016,71,421,45,3,102679
GREEN BAY,1,4,262,29,WISCONSIN,1014,186,30,2016,177,808,25,45,105452
FARGO,2,9,214,135,NORTH DAKOTA,1749,143,30,2016,254,1360,28,39,121217
PORTLAND,5,81,1588,2067,OREGON,15868,899,476,2016,1906,11895,19,208,642129
PALMDALE,5,17,351,196,CALIFORNIA,1264,226,93,2016,289,779,1,27,159441
MORENO VALLEY,6,6,470,557,CALIFORNIA,3052,280,180,2016,433,2062,1,4,206224
CAMBRIDGE,2,4,159,68,MASSACHUSETTS,1177,107,38,2016,184,925,48,12,111030
DALY CITY,0,5,131,87,CALIFORNIA,783,73,47,2016,129,567,1,11,107640
CONCORD,1,8,221,515,CALIFORNIA,2116,131,75,2016,227,1374,1,14,129903
WEST COVINA,2,5,146,251,CALIFORNIA,1442,71,64,2016,270,921,1,9,108950
BATON ROUGE,15,65,979,269,LOUISIANA,4708,563,348,2016,1058,3381,53,228389
NEW ORLEANS,67,34,2041,1178,LOUISIANA,7586,990,685,2016,1277,5131,299,397208
GREENSBORO,8,56,,300,NORTH CAROLINA,4772,592,251,2016,1029,3443,22,,288618
SANTA ROSA,4,11,333,224,CALIFORNIA,1714,223,58,2016,298,1192,1,48,176383
AMHERST TOWN,1,2,45,17,NEW YORK,953,26,15,2016,79,857,18,3,120436
CHANDLER,1,8,272,161,ARIZONA,2987,141,69,2016,453,2373,13,61,265922
VIRGINIA BEACH,8,35,350,256,VIRGINIA,4842,137,132,2016,430,4156,20,73,453017
COLUMBIA,5,5,551,390,SOUTH CAROLINA,3570,355,141,2016,540,2640,42,50,134489
NORMAN,1,3,183,214,OKLAHOMA,2000,106,36,2016,364,1422,23,40,122143
SACRAMENTO,13,87,1733,1514,CALIFORNIA,7875,1142,536,2016,1621,4740,1,42,495471
SOUTH BEND,6,18,465,199,INDIANA,2201,280,136,2016,485,1517,15,43,101621
FULLERTON,1,6,152,187,CALIFORNIA,1689,83,45,2016,238,1264,1,23,141968
ST. PETERSBURG,11,22,854,438,FLORIDA,5642,526,258,2016,932,4272,38,59,259510
GRAND RAPIDS,4,28,649,121,MICHIGAN,2032,429,140,2016,384,1527,16,76,196538
MANCHESTER,1,16,368,71,NEW HAMPSHIRE,1576,223,104,2016,240,1265,41,40,110353
SUNNYVALE,0,9,68,117,CALIFORNIA,1012,39,21,2016,266,629,1,8,154108
NORFOLK,26,11,790,259,VIRGINIA,4562,466,230,2016,582,3721,20,68,245734
JURUPA VALLEY,5,2,149,491,CALIFORNIA,1430,97,34,2016,225,714,1,13,101316
ROCKFORD,11,30,1250,223,ILLINOIS,2717,903,264,2016,601,1893,2,72,147363
FORT LAUDERDALE,12,9,584,442,FLORIDA,5366,301,225,2016,941,3983,38,46,181218
OCEANSIDE,1,7,307,244,CALIFORNIA,2152,203,76,2016,249,1659,1,27,177340
GARDEN GROVE,1,4,248,352,CALIFORNIA,2187,154,80,2016,448,1387,1,13,176230
SAN DIEGO,24,138,2645,2960,CALIFORNIA,14865,1601,723,2016,2493,9412,1,297,1413414
WATERBURY,4,13,268,301,CONNECTICUT,2057,139,111,2016,358,1398,46,14,108491
DENVER,19,44,2164,2310,COLORADO,12442,1298,575,2016,2392,7740,14,272,699259
MONTGOMERY,18,,563,396,ALABAMA,4229,316,187,2016,1043,2790,7,42,199565
RICHMOND,10,18,477,637,CALIFORNIA,1819,257,170,2016,353,829,1,40,110868
CLEARWATER,1,6,336,98,FLORIDA,1821,226,69,2016,260,1463,38,40,113904
CLOVIS,2,3,131,113,CALIFORNIA,1506,76,35,2016,215,1178,1,18,105865
NAPERVILLE,0,2,38,18,ILLINOIS,725,20,14,2016,71,636,2,4,148070
LOS ANGELES,135,639,14212,8937,CALIFORNIA,48381,7958,4943,2016,7779,31665,1,1176,4007905
GLENDALE,1,4,114,173,CALIFORNIA,1795,51,45,2016,313,1309,1,17,202903
ST. PAUL,9,36,1000,765,MINNESOTA,4360,550,341,2016,900,2695,10,100,303920
NEWPORT NEWS ,11,24,384,269,VIRGINIA,2589,205,126,2016,411,1909,20,42,181676
OVERLAND PARK,1,8,188,141,KANSAS,1376,98,20,2016,235,1000,3,69,189104
JACKSON,27,55,,438,MISSISSIPPI,3875,311,297,2016,922,2515,4,,170070
FRESNO,18,126,1613,1846,CALIFORNIA,10334,962,552,2016,1726,6762,1,81,524796
YONKERS,4,9,463,95,NEW YORK,988,232,206,2016,181,712,18,21,202075
PEORIA,6,36,378,75,ILLINOIS,1992,217,121,2016,468,1449,2,34,115099
TOLEDO,10,,1634,349,OHIO,5623,1076,381,2016,1688,3586,5,167,278366
WASHINGTON,62,,3905,1327,DISTRICT OF COLUMBIA,14563,2036,1551,2016,1115,12121,51,256,681170
CLARKSVILLE,6,1,474,73,TENNESSEE,1816,381,54,2016,308,1435,24,33,152526
BURBANK,0,8,104,118,CALIFORNIA,1358,70,23,2016,202,1038,1,11,105720
ANAHEIM,4,17,620,715,CALIFORNIA,5151,363,183,2016,759,3677,1,70,353504
STAMFORD,0,1,155,77,CONNECTICUT,865,83,53,2016,123,665,46,19,130116
PORT ST. LUCIE,2,3,139,38,FLORIDA,1167,102,27,2016,204,925,38,8,182365
TALLAHASSEE,4,3,857,533,FLORIDA,5346,549,200,2016,1036,3777,38,104,191564
RIVERSIDE,4,27,833,920,CALIFORNIA,5443,470,289,2016,934,3589,1,70,325896
SPRINGFIELD,5,31,1144,584,MISSOURI,6283,773,213,2016,1060,4639,11,153,168307
WARREN,3,17,355,214,MICHIGAN,1659,220,56,2016,427,1018,16,76,135620
THOUSAND OAKS,0,4,83,47,CALIFORNIA,761,50,17,2016,109,605,1,16,129853
MOBILE,18,,793,345,ALABAMA,5169,547,181,2016,1100,3724,7,47,249921
ATHENS-CLARKE COUNTY,1,9,,110,GEORGIA,2093,170,76,2016,425,1558,29,,123934
NASHVILLE,34,38,3596,725,TENNESSEE,12022,2449,864,2016,2302,8995,24,249,668685
RIALTO,2,1,254,355,CALIFORNIA,946,159,84,2016,301,290,1,9,103893
KENT,0,6,163,679,WASHINGTON,3637,59,74,2016,553,2405,36,30,128604
ESCONDIDO,3,7,257,320,CALIFORNIA,1665,162,73,2016,221,1124,1,19,152897
VANCOUVER,0,24,328,505,WASHINGTON,2823,188,69,2016,442,1876,36,71,174912
SAN BERNARDINO,32,23,1412,1280,CALIFORNIA,4500,881,448,2016,1188,2032,1,51,217303
OAKLAND,28,91,2952,3579,CALIFORNIA,11450,1287,1509,2016,1440,6431,1,128,424998
EVERETT,1,8,262,522,WASHINGTON,2997,154,75,2016,468,2007,36,32,108988
INDEPENDENCE,2,7,304,373,MISSOURI,2989,212,61,2016,444,2172,11,29,117335
SIOUX FALLS,4,24,457,310,SOUTH DAKOTA,2680,331,57,2016,413,1957,34,65,175152
OMAHA,12,32,,1424,NEBRASKA,8093,792,248,2016,922,5747,12,,446163
DAYTON,14,42,628,364,OHIO,3457,343,215,2016,1009,2084,5,56,140260
LITTLE ROCK,16,27,1421,543,ARKANSAS,6597,1018,305,2016,1102,4952,0,82,198800
WEST VALLEY,4,5,370,632,UTAH,3156,223,89,2016,427,2097,39,54,137558
CLINTON TOWNSHIP,2,4,145,60,MICHIGAN,797,98,17,2016,142,595,16,28,100514
COSTA MESA,0,19,203,332,CALIFORNIA,2516,103,72,2016,415,1769,1,28,113816
VENTURA,4,3,183,147,CALIFORNIA,1854,105,46,2016,325,1382,1,28,110228
FORT WAYNE,16,28,450,146,INDIANA,3976,226,161,2016,768,3062,15,47,261642
SANDY SPRINGS,0,4,,79,GEORGIA,1295,19,27,2016,233,983,29,,107685
BERKELEY,0,20,262,312,CALIFORNIA,2637,84,151,2016,437,1888,1,27,122651
HOLLYWOOD,2,2,316,258,FLORIDA,2372,179,110,2016,358,1756,38,25,151510
MIRAMAR,2,4,233,133,FLORIDA,1480,156,63,2016,164,1183,38,12,140288
CARLSBAD,0,4,89,82,CALIFORNIA,1137,46,25,2016,192,863,1,18,115040
CHARLOTTE-MECKLENBURG,22,99,,1163,NORTH CAROLINA,17369,2078,912,2016,3175,13031,22,,896379
VICTORVILLE,4,10,315,256,CALIFORNIA,1831,195,95,2016,452,1123,1,21,123438
LAKEWOOD,3,12,441,441,COLORADO,4167,279,82,2016,503,3223,14,77,154553
MURRIETA,0,5,28,106,CALIFORNIA,812,19,4,2016,131,575,1,5,111043
CHESAPEAKE,8,11,423,164,VIRGINIA,2973,285,92,2016,321,2488,20,38,236570
FREMONT,0,6,204,330,CALIFORNIA,2239,74,97,2016,454,1455,1,33,235881
ANN ARBOR,0,3,100,45,MICHIGAN,935,53,20,2016,126,764,16,27,117688
MINNEAPOLIS,10,38,2114,879,MINNESOTA,7607,1092,799,2016,1381,5347,10,213,416751
ROSEVILLE,0,6,97,163,CALIFORNIA,1625,36,50,2016,205,1257,1,11,132566
TOPEKA,8,1,304,351,KANSAS,3302,169,100,2016,512,2439,3,27,127166
LAS CRUCES,2,1,,126,NEW MEXICO,2351,89,19,2016,377,1848,35,,102349
PATERSON,7,5,547,307,NEW JERSEY,1498,249,263,2016,464,727,45,28,147265
ORANGE,0,6,104,182,CALIFORNIA,1280,64,27,2016,227,871,1,13,141841
CHARLESTON,6,3,198,123,SOUTH CAROLINA,1534,123,51,2016,167,1244,42,18,135153
ATLANTA,56,27,,1844,GEORGIA,11522,1322,1092,2016,2171,7507,29,,472579
SYRACUSE,14,24,503,164,NEW YORK,2209,309,149,2016,469,1576,18,31,143925
MEMPHIS,98,181,5775,1340,TENNESSEE,16894,3892,1536,2016,4358,11196,24,249,656434
POMONA,3,12,334,569,CALIFORNIA,2316,164,133,2016,414,1333,1,34,154109
EUGENE,2,29,296,315,OREGON,2973,185,59,2016,470,2188,19,50,164883
ST. LOUIS,88,135,2784,1330,MISSOURI,8522,1744,811,2016,1605,5587,11,141,314507
LOWELL,0,8,223,131,MASSACHUSETTS,986,160,55,2016,187,668,48,8,111027
VISTA,1,4,183,117,CALIFORNIA,831,115,50,2016,170,544,1,17,102307
CARY,0,4,,27,NORTH CAROLINA,852,33,24,2016,126,699,22,,164835
STOCKTON,23,42,2156,833,CALIFORNIA,5912,1498,578,2016,1130,3949,1,57,308348
FONTANA,5,7,447,565,CALIFORNIA,2224,289,113,2016,341,1318,1,40,209531
KNOXVILLE,7,9,839,387,TENNESSEE,5027,551,200,2016,846,3794,24,81,186583
KANSAS CITY,51,89,3740,1696,MISSOURI,9400,2619,871,2016,2109,5595,11,199,478364
SCOTTSDALE,2,8,197,112,ARIZONA,2904,81,59,2016,356,2436,13,55,240885
FAIRFIELD,2,8,275,265,CALIFORNIA,1389,166,78,2016,217,907,1,29,114521
HARTFORD,10,55,613,366,CONNECTICUT,2390,373,202,2016,363,1661,46,28,123736
CENTENNIAL,1,4,66,50,COLORADO,605,35,8,2016,100,455,14,22,111479
KENOSHA,0,3,,41,WISCONSIN,1042,113,58,2016,206,795,25,,99954
MILWAUKEE,55,120,4485,2981,WISCONSIN,11506,2633,1545,2016,2385,6140,25,252,600193
OLATHE,1,1,111,85,KANSAS,986,72,15,2016,80,821,3,23,135977
LINCOLN,8,,473,183,NEBRASKA,4104,274,90,2016,597,3324,12,101,281138
PUEBLO,2,25,545,430,COLORADO,3484,352,109,2016,887,2167,14,82,109927
SAVANNAH-CHATHAM METROPOLITAN,30,6,,441,GEORGIA,3950,262,254,2016,789,2720,29,,241296
SEATTLE,11,52,2078,1993,WASHINGTON,19348,1170,766,2016,3953,13402,36,131,700313
MIAMI GARDENS,11,12,376,207,FLORIDA,1820,223,135,2016,297,1316,38,7,114349
STERLING HEIGHTS,0,3,118,49,MICHIGAN,754,88,10,2016,89,616,16,20,132523
SIMI VALLEY,0,2,88,47,CALIFORNIA,778,49,22,2016,170,561,1,17,127252
PASADENA,1,38,241,164,CALIFORNIA,1722,141,78,2016,413,1145,1,21,143288
DOWNEY,1,5,189,391,CALIFORNIA,1605,89,93,2016,237,977,1,6,114704
ANTIOCH,7,27,396,506,CALIFORNIA,1756,199,165,2016,367,883,1,25,112090
SALT LAKE CITY,4,16,900,968,UTAH,8295,498,263,2016,898,6429,39,135,193918
FAYETTEVILLE,17,28,,186,NORTH CAROLINA,4597,449,147,2016,892,3519,22,,202200
GREELEY,1,12,232,158,COLORADO,1616,164,22,2016,227,1231,14,45,102491
COLUMBUS,41,190,2253,1575,OHIO,16871,697,1050,2016,3580,11716,5,465,862515
ELK GROVE,0,1,278,125,CALIFORNIA,1269,201,45,2016,210,934,1,32,169742
AURORA,2,13,314,63,ILLINOIS,1215,228,56,2016,207,945,2,28,201159
GAINESVILLE,3,3,420,142,FLORIDA,2379,277,83,2016,307,1930,38,57,131242
PEMBROKE PINES,1,1,187,123,FLORIDA,1823,126,51,2016,152,1548,38,9,169156
DAVIE,2,3,97,146,FLORIDA,1431,44,38,2016,160,1125,38,13,102692
LANSING,5,4,687,171,MICHIGAN,1448,510,109,2016,379,898,16,63,115199
MADISON,6,8,398,162,WISCONSIN,3253,228,105,2016,440,2651,25,59,252136
PALM BAY,2,5,251,55,FLORIDA,783,194,25,2016,192,536,38,30,108823
ELIZABETH,3,1,511,441,NEW JERSEY,1976,251,235,2016,394,1141,45,22,129096
HONOLULU,9,139,1165,2215,HAWAII,15535,597,378,2016,1843,11477,44,181,995572
JOLIET,2,24,247,55,ILLINOIS,1384,159,58,2016,282,1047,2,28,147886
BROKEN ARROW,1,3,73,67,OKLAHOMA,1016,40,21,2016,166,783,23,11,108088
HUNTINGTON BEACH,0,7,170,206,CALIFORNIA,2167,114,32,2016,317,1644,1,24,204071
SAN MATEO,0,0,109,97,CALIFORNIA,1019,75,22,2016,389,533,1,12,104802
COLORADO SPRINGS,8,59,1113,900,COLORADO,7816,656,210,2016,1194,5722,14,239,464113
JACKSONVILLE,52,45,2758,1422,FLORIDA,15340,1752,703,2016,2758,11160,38,251,880557
MIAMI,27,28,1953,886,FLORIDA,9473,1211,671,2016,1282,7305,38,44,449469
HIGH POINT,2,5,,87,NORTH CAROLINA,1896,226,74,2016,346,1463,22,,111435
ELGIN,0,10,119,31,ILLINOIS,679,69,34,2016,85,563,2,16,112886
EVANSVILLE,5,,359,190,INDIANA,2898,212,98,2016,468,2240,15,44,119908
TAMPA,12,34,984,353,FLORIDA,4031,671,258,2016,761,2917,38,43,375904
LANCASTER,3,35,550,313,CALIFORNIA,1761,334,173,2016,517,931,1,40,161963
ONTARIO,6,15,298,486,CALIFORNIA,2331,175,102,2016,462,1383,1,15,172606
ROCHESTER,16,48,879,334,NEW YORK,3583,500,291,2016,677,2572,18,72,209643
INGLEWOOD,7,14,400,370,CALIFORNIA,1219,161,205,2016,236,613,1,27,112059
ALLENTOWN,6,11,257,133,PENNSYLVANIA,1547,106,122,2016,331,1083,37,23,120615
NORTH CHARLESTON,15,9,444,319,SOUTH CAROLINA,3056,248,136,2016,432,2305,42,45,110490
CLEVELAND,47,158,2879,2000,OHIO,9580,1324,1280,2016,2658,4922,5,228,386227
CAPE CORAL,4,2,103,90,FLORIDA,1508,73,19,2016,307,1111,38,7,179631
LEXINGTON,12,23,511,506,KENTUCKY,6136,134,276,2016,1085,4545,40,89,317853
WEST JORDAN,0,3,146,180,UTAH,1769,100,25,2016,185,1404,39,21,113595
WOODBRIDGE TOWNSHIP,0,2,51,57,NEW JERSEY,802,23,24,2016,102,643,45,4,102124
EL CAJON,1,6,202,227,CALIFORNIA,1273,105,67,2016,210,836,1,29,104483
DURHAM,15,8,,308,NORTH CAROLINA,4029,538,355,2016,1057,2664,22,,263716
CHATTANOOGA,13,13,860,498,TENNESSEE,4869,652,139,2016,774,3597,24,56,177801
RENO,4,8,809,528,NEVADA,3820,543,190,2016,599,2693,43,72,244554
SAN FRANCISCO,25,130,2987,2583,CALIFORNIA,22833,1302,1497,2016,2435,17815,1,163,871155
MESA,12,21,1069,417,ARIZONA,5517,701,210,2016,1010,4090,13,146,478277
IRVINE,2,4,79,82,CALIFORNIA,1972,30,25,2016,313,1577,1,22,266663
SANTA CLARITA,2,5,156,188,CALIFORNIA,1476,78,51,2016,325,963,1,25,219611
RANCHO CUCAMONGA,0,3,120,235,CALIFORNIA,2069,63,39,2016,455,1379,1,18,177089
CORAL SPRINGS,0,4,110,83,FLORIDA,1205,62,37,2016,104,1018,38,11,131159
TEMECULA,2,1,62,161,CALIFORNIA,1238,30,27,2016,165,912,1,3,114381
GRESHAM,2,11,224,316,OREGON,1441,126,55,2016,219,906,19,41,111491
TULSA,28,92,2064,1672,OKLAHOMA,11532,1355,455,2016,2681,7179,23,226,405748
SAN JOSE,25,55,1919,3259,CALIFORNIA,11463,1091,583,2016,2052,6152,1,220,1041844
HIALEAH,5,17,336,302,FLORIDA,2812,231,82,2016,255,2255,38,18,239451
SANTA MARIA,6,3,269,323,CALIFORNIA,1371,146,97,2016,233,815,1,20,106200
SALEM,4,13,251,297,OREGON,3242,165,61,2016,406,2539,19,21,166508
NEW YORK,162,,23546,2948,NEW YORK,59928,14834,7366,2016,5809,51171,18,1184,8566917
AKRON,20,47,628,306,OHIO,4100,286,198,2016,1145,2649,5,124,197257
SURPRISE,3,2,65,76,ARIZONA,1146,33,23,2016,162,908,13,6,130679
OKLAHOMA CITY,30,47,2462,1406,OKLAHOMA,12436,1658,547,2016,2649,8381,23,227,641681
LAKELAND,1,1,168,176,FLORIDA,2585,76,55,2016,321,2088,38,36,105766
TORRANCE,0,3,116,187,CALIFORNIA,1568,46,58,2016,208,1173,1,12,149078
CHULA VISTA,0,17,313,402,CALIFORNIA,2125,198,90,2016,332,1391,1,25,270175
